PSO, FFA, GE, DE,
-6572.92,-4612.78, -11123.1,-5174.47,
24864.7,5956.45,779.366,54.9041,
4.85608e+09,1.99848e+08,8.14329e+06,285916,
-3431.3,-5201.75,-5701.65,-5709.98,
0,32.0836,9.56266,1.63912,
-30.6027,-35.9467,-39.0845,-32.5325,
126.686,81.947,50.4284,51.3071,
239.69,102.243,-14.7049,40.8273,
417.703,317.39,147.659,118.47,
-8580.08,-5670.1,-17353.8,-7008.9,
-5036.05,-4227.95,-9746.21,-4997.3,
1.36176,11.5402,6.08697,11.713,
-11.3567,-10.3859,-22.9351,-10.6575,
-8.04027,-4.22508,-15.6292,-3.77882
